都府県振興局,観測所番号,種類,観測所名,ｶﾀｶﾅ名,気象情報等に表記する名称,所在地,緯度(度),緯度(分),経度(度),経度(分),海面上の高さ(ｍ),風速計の高さ(ｍ),温度計の高さ(ｍ),観測開始年月日,備考1,備考2,latitude,longitude,観測所種別,temp_jan,temp_feb,temp_mar,temp_apr,temp_may,temp_jun,temp_jul,temp_aug,temp_sep,temp_oct,temp_nov,temp_dec,rain_jan,rain_feb,rain_mar,rain_apr,rain_may,rain_jun,rain_jul,rain_aug,rain_sep,rain_oct,rain_nov,rain_dec
岩手,33801,四,住田,ｽﾐﾀ,住田,気仙郡住田町世田米字川向,39,8.5,141,34.4,80,10,2,昭52.10.20,－,湿度を除く,39.141666666666666,141.57333333333332,2,-0.6,-0.2,3.1,8.6,14.1,18.0,21.8,23.0,19.3,13.0,6.7,1.6,43.1,37.4,90.6,104.3,125.0,143.0,184.2,171.3,187.2,137.5,81.3,57.1
岩手,33877,官,大船渡,ｵｵﾌﾅﾄ,大船渡,大船渡市大船渡町字赤沢　大船渡特別地域気象観測所,39,3.8,141,42.8,37,22.2,－,#平2.3.15,33947,－,39.06333333333333,141.71333333333334,1,1.1,1.4,4.4,9.4,14.2,17.9,21.7,23.2,20.0,14.4,8.6,3.5,51.3,41.0,103.8,129.1,153.9,174.4,196.4,182.1,200.2,161.3,88.6,61.3
岩手,33911,四,一関,ｲﾁﾉｾｷ,一関,一関市竹山町,38,56.0,141,7.5,32,10.1,2,#昭51.2.15,33950,－,38.93333333333333,141.125,2,-0.1,0.6,4.1,9.8,15.4,19.4,23.0,24.2,20.4,14.0,7.6,2.1,46.5,40.1,76.1,86.6,107.5,121.8,181.1,161.9,156.3,118.6,68.2,58.7
岩手,33921,四,千厩,ｾﾝﾏﾔ,一関市千厩,一関市千厩町千厩字北方,38,55.3,141,19.8,120,10,2,#昭51.11.27,－,湿度を除く,38.92166666666667,141.33,2,-0.9,-0.2,3.2,8.8,14.3,18.3,22.0,23.2,19.3,13.0,6.6,1.4,37.0,31.6,67.8,82.2,98.1,115.8,173.4,149.6,147.2,113.3,61.5,45.9
宮城,34012,四,駒ノ湯,ｺﾏﾉﾕ,栗原市駒ノ湯,栗原市栗駒沼倉耕英南,38,54.8,140,49.7,532,10,2.5,昭51.11.29,34906,－,38.913333333333334,140.82833333333335,2,-2.9,-2.4,0.6,6.3,12.0,15.9,19.7,20.7,17.0,11.2,5.2,-0.2,126.8,96.8,125.8,135.7,164.8,228.2,263.5,253.9,261.6,187.0,137.4,152.9
宮城,34026,四,気仙沼,ｹｾﾝﾇﾏ,気仙沼,気仙沼市古町,38,54.4,141,33.4,62,10,1.5,#昭51.12.2,－,湿度を除く,38.906666666666666,141.55666666666667,2,0.3,0.7,3.9,8.9,13.8,17.6,21.3,22.9,19.7,14.0,8.0,2.7,44.2,38.7,94.5,106.6,128.2,153.7,193.7,149.7,184.3,148.7,74.3,51.6
宮城,34096,四,川渡,ｶﾜﾀﾋﾞ,大崎市川渡,大崎市鳴子温泉字蓬田,38,44.6,140,45.6,170,10,2,昭51.12.4,34900,湿度を除く,38.74333333333333,140.76,2,-0.9,-0.4,2.7,8.5,14.0,18.0,21.6,22.7,18.9,12.8,6.7,1.5,113.4,82.8,105.1,110.2,132.1,161.5,216.6,205.9,183.1,143.6,105.8,128.6
宮城,34111,四,築館,ﾂｷﾀﾞﾃ,栗原市築館,栗原市築館左足下,38,44.1,141,0.3,25,6.6,2.3,#昭51.2.23,－,－,38.735,141.005,2,-0.3,0.4,3.7,9.2,14.9,18.9,22.4,23.6,19.8,13.6,7.2,2.0,42.1,35.1,73.0,87.3,111.9,134.2,185.4,151.6,166.3,131.2,62.9,49.8
宮城,34171,四,米山,ﾖﾈﾔﾏ,登米市米山,登米市米山町西野字新遠田,38,37.5,141,11.2,4,10,2,(昭50.5.21)昭51.11.30,－,－,38.625,141.18666666666667,2,-0.1,0.6,4.0,9.4,15.1,19.0,22.5,23.8,20.1,14.0,7.6,2.2,35.5,29.1,69.9,77.3,93.6,111.2,161.6,120.1,150.6,129.4,58.6,41.4
宮城,34186,四,志津川,ｼﾂﾞｶﾞﾜ,南三陸町志津川,本吉郡南三陸町志津川字城場,38,40.9,141,26.9,39,9.9,2,#昭51.12.1,－,－,38.681666666666665,141.44833333333332,2,0.7,1.2,4.2,9.2,14.0,17.5,21.4,23.0,19.8,14.2,8.4,3.1,45.3,39.2,88.6,103.3,116.7,130.7,167.3,142.8,184.2,155.3,70.7,54.2
宮城,34216,四,古川,ﾌﾙｶﾜ,大崎市古川,大崎市古川大崎字富国,38,35.9,140,54.7,28,6.6,1.8,#昭51.12.3,34910,－,38.598333333333336,140.91166666666666,2,0.0,0.6,3.8,9.4,15.1,19.0,22.5,23.7,20.0,13.9,7.6,2.4,44.9,35.0,70.4,82.7,102.8,123.3,169.9,139.1,160.4,129.2,62.8,53.1
宮城,34266,四,大衡,ｵｵﾋﾗ,大衡,黒川郡大衡村松の平,38,28.4,140,53.3,57,10,1.5,#昭51.12.3,－,湿度を除く,38.473333333333336,140.88833333333332,2,0.2,0.7,3.9,9.4,14.8,18.7,22.2,23.5,19.8,13.8,7.6,2.5,60.5,44.7,79.6,88.4,110.2,135.3,186.2,153.0,181.2,143.9,67.4,65.2
宮城,34276,四,鹿島台,ｶｼﾏﾀﾞｲ,大崎市鹿島台,大崎市鹿島台広長字内の浦,38,27.6,141,5.5,3,10,2,#昭51.12.1,－,湿度を除く,38.46,141.09166666666667,2,0.3,0.8,3.9,9.1,14.7,18.7,22.2,23.5,20.0,14.0,7.6,2.5,35.1,29.2,72.2,84.7,95.1,119.4,155.4,129.3,166.7,143.7,62.7,41.0
宮城,34292,官,石巻,ｲｼﾉﾏｷ,石巻,石巻市泉町　石巻特別地域気象観測所,38,25.6,141,17.9,43,28.6,－,平2.1.25,34913,－,38.42666666666667,141.29833333333335,1,1.0,1.6,4.6,9.6,14.5,18.3,21.9,23.6,20.5,15.0,8.9,3.4,38.8,31.0,72.4,86.1,96.8,110.6,145.7,115.8,151.6,137.9,61.9,42.8
宮城,34296,四,女川,ｵﾅｶﾞﾜ,女川,牡鹿郡女川町宮ケ崎字宮ケ崎,38,26.8,141,27.0,38,10,1.5,平23.5.13,－,湿度を除く,38.446666666666665,141.45,2,0.9,1.2,4.9,9.4,14.8,18.0,21.8,23.5,20.3,14.5,8.7,3.1,54.6,38.3,98.6,125.7,119.7,145.2,130.9,142.5,234.1,220.6,57.4,62.3
宮城,34311,四,新川,ﾆｯｶﾜ,仙台市新川,仙台市青葉区新川字清水尻,38,18.2,140,38.2,265,10.1,2,#昭51.11.30,34915,－,38.303333333333335,140.63666666666666,2,-0.8,-0.5,2.6,8.2,13.6,17.4,21.1,22.1,18.4,12.4,6.5,1.5,76.3,60.1,89.0,101.2,115.1,157.5,215.0,215.5,214.7,145.9,85.4,92.7
宮城,34331,四,塩釜,ｼｵｶﾞﾏ,塩釜,塩竈市伊保石,38,20.3,141,0.8,105,10,1.5,(昭50.5.21)昭51.11.30,－,湿度を除く,38.33833333333333,141.01333333333332,2,0.9,1.3,4.4,9.6,14.6,18.3,22.0,23.5,20.3,14.8,8.8,3.4,38.3,31.8,71.2,87.9,101.8,130.0,170.2,130.5,172.1,140.2,60.3,40.6
宮城,34392,官,仙台,ｾﾝﾀﾞｲ,仙台,仙台市宮城野区五輪　仙台管区気象台,38,15.7,140,53.8,39,52.6,－,#昭57.3.1,34917,－,38.26166666666666,140.89666666666668,1,2.0,2.4,5.5,10.7,15.6,19.2,22.9,24.4,21.2,15.7,9.8,4.5,42.3,33.9,74.4,90.2,110.2,143.7,178.4,157.8,192.6,150.6,58.7,44.1
宮城,34436,官,名取,ﾅﾄﾘ,名取,名取市下増田字南原　仙台航空測候所,38,8.3,140,55.0,2,9.9,－,平15.1.1,34965,日照・湿度・気圧を除く,38.138333333333335,140.91666666666666,3,1.6,2.2,5.4,10.0,15.1,19.0,22.4,24.3,21.1,15.4,9.6,4.2,31.4,23.3,63.0,85.5,96.0,107.6,155.6,128.8,169.1,164.3,55.9,43.2
宮城,34461,四,白石,ｼﾛｲｼ,白石,白石市福岡長袋字湯殿山,38,0.9,140,36.7,86,10.1,1.7,#昭51.11.25,34920,－,38.015,140.61166666666668,2,1.2,1.7,4.7,10.2,15.5,19.0,22.5,23.7,20.1,14.5,8.6,3.6,50.8,36.6,71.0,96.0,99.3,146.6,188.2,186.0,197.0,146.1,59.7,50.2
宮城,34462,四,蔵王,ｻﾞｵｳ,蔵王,刈田郡蔵王町大字平沢字内屋敷,38,7.6,140,40.8,112,6.6,1.5,平17.10.27,－,－,38.126666666666665,140.68,2,0.6,1.1,4.4,9.3,15.1,18.7,22.3,23.8,19.8,14.0,7.9,2.8,46.1,37.1,72.2,101.0,106.0,146.0,183.4,172.6,199.2,162.2,50.4,63.2
宮城,34471,四,亘理,ﾜﾀﾘ,亘理,亘理郡亘理町字油田,38,1.5,140,51.5,4,10,1.5,#昭51.11.29,－,湿度を除く,38.025,140.85833333333332,2,1.8,2.2,5.2,10.3,15.2,18.7,22.4,23.9,20.6,15.2,9.4,4.3,45.3,33.3,71.7,86.6,104.7,133.1,180.7,154.9,202.6,164.0,58.0,37.3
宮城,34506,四,丸森,ﾏﾙﾓﾘ,丸森,伊具郡丸森町舘矢間舘山字新賢中,37,55.9,140,46.7,18,10,1.5,昭52.11.4,－,湿度を除く,37.931666666666665,140.77833333333334,2,1.3,1.8,4.9,10.3,15.7,19.2,22.8,24.0,20.3,14.4,8.4,3.6,52.9,35.8,73.7,90.9,99.9,126.8,176.0,169.0,210.0,168.0,57.6,38.9
山形,35002,四,飛島,ﾄﾋﾞｼﾏ,酒田市飛島,酒田市飛島字勝浦乙,39,11.0,139,32.6,58,20.4,1.6,昭62.11.10,－,－,39.18333333333333,139.54333333333332,2,2.1,2.3,4.9,9.4,14.1,18.4,22.4,24.4,21.0,15.6,10.0,4.8,111.0,79.6,84.2,84.1,86.4,91.4,157.1,161.1,144.1,148.3,152.6,148.8
山形,35052,官,酒田,ｻｶﾀ,酒田,酒田市亀ケ崎　酒田特別地域気象観測所,38,54.5,139,50.6,3,26.6,－,#昭59.2.9,35955,－,38.90833333333333,139.84333333333333,1,1.9,2.2,5.1,10.2,15.7,20.0,23.8,25.5,21.6,15.6,9.7,4.5,177.7,118.4,111.1,103.6,122.6,125.3,218.7,205.6,176.2,188.6,222.0,217.0
山形,35071,四,差首鍋,ｻｽﾅﾍﾞ,真室川町差首鍋,最上郡真室川町差首鍋,38,55.1,140,12.0,88,8.9,3.5,#昭51.11.30,－,－,38.91833333333334,140.2,2,-1.0,-0.7,1.6,7.0,13.8,18.4,22.2,23.2,18.9,12.2,6.0,1.1,270.7,196.1,181.1,154.5,180.5,189.8,339.7,275.4,198.2,228.7,286.1,310.0
山形,35086,官,浜中,ﾊﾏﾅｶ,酒田市浜中,酒田市浜中字村東　庄内航空気象観測所,38,48.7,139,47.2,22,10,－,平15.1.1,－,日照・湿度・気圧を除く,38.81166666666667,139.78666666666666,3,1.8,1.8,4.7,9.3,15.1,19.5,23.1,24.9,21.1,15.1,9.6,4.3,110.9,72.8,97.3,95.4,97.8,102.7,220.4,205.1,172.9,186.6,194.3,192.9
山形,35116,四,金山,ｶﾈﾔﾏ,金山,最上郡金山町金山字本町,38,52.7,140,19.9,170,10,1.5,#昭51.11.29,35900,湿度を除く,38.87833333333333,140.33166666666668,2,-1.4,-1.0,1.7,7.6,14.1,18.6,22.3,23.3,19.1,12.4,6.1,0.8,211.4,141.2,128.3,106.1,130.5,136.6,258.4,223.4,159.5,161.8,190.5,230.7
山形,35141,四,鶴岡,ﾂﾙｵｶ,鶴岡,鶴岡市錦町,38,44.1,139,49.7,16,10.1,2.5,#昭51.12.2,－,－,38.735,139.82833333333335,2,1.7,1.9,4.9,10.4,16.0,20.1,23.9,25.3,21.3,15.3,9.5,4.2,218.3,134.8,130.0,106.8,119.9,124.3,220.2,198.9,184.6,207.7,267.0,278.7
山形,35146,四,狩川,ｶﾘｶﾜ,庄内町狩川,東田川郡庄内町狩川字矢倉,38,48.0,139,58.4,17,9.9,3,#昭51.12.2,35905,－,38.8,139.97333333333333,2,0.6,0.8,3.8,9.4,15.2,19.6,23.1,24.5,20.5,14.5,8.4,3.1,190.9,125.2,119.6,103.1,121.7,125.2,227.2,218.7,170.3,202.0,237.1,228.6
山形,35162,官,新庄,ｼﾝｼﾞｮｳ,新庄,新庄市東谷地田町　新庄特別地域気象観測所,38,45.4,140,18.7,105,31.6,－,#昭60.11.1,35907,－,38.75666666666667,140.31166666666667,1,-0.8,-0.5,2.4,8.5,14.8,19.3,23.0,24.2,19.9,13.2,6.7,1.5,238.4,154.0,126.7,97.5,107.7,126.0,219.6,196.4,140.5,156.5,187.3,264.0
山形,35176,四,向町,ﾑｶｲﾏﾁ,最上町向町,最上郡最上町向町,38,45.5,140,31.0,212,9.9,3.5,(昭49.12.18)昭51.11.26,35950,－,38.75833333333333,140.51666666666668,2,-1.3,-1.0,1.9,7.7,13.9,18.3,22.1,23.2,19.1,12.6,6.3,1.1,168.9,116.6,114.5,104.1,119.2,137.2,233.4,197.6,158.3,148.2,167.2,188.2
山形,35216,四,肘折,ﾋｼﾞｵﾘ,大蔵村肘折,最上郡大蔵村南山,38,36.4,140,9.8,330,8.5,1.5,昭51.11.27,35920,湿度を除く,38.60666666666667,140.16333333333333,2,-1.8,-1.6,1.1,5.6,12.0,17.0,20.9,21.9,17.8,11.5,5.5,0.5,403.3,268.4,186.4,128.4,112.4,135.0,229.2,201.5,170.6,222.0,332.5,443.8
山形,35231,四,尾花沢,ｵﾊﾞﾅｻﾞﾜ,尾花沢,尾花沢市新町,38,36.5,140,24.7,106,8.9,3.2,(昭50.5.23)昭51.3.8,35915,－,38.608333333333334,140.41166666666666,2,-1.0,-0.7,2.1,8.2,14.6,19.0,22.5,23.7,19.6,13.1,6.6,1.3,165.3,98.4,80.7,68.4,78.4,105.6,174.0,148.9,128.9,120.5,155.2,197.1
山形,35246,四,鼠ケ関,ﾈｽﾞｶﾞｾｷ,鶴岡市鼠ケ関,鶴岡市鼠ケ関字横路,38,34.0,139,33.1,18,10.2,2,(昭50.5.23)昭51.12.3,－,－,38.56666666666667,139.55166666666668,2,2.5,2.5,5.1,10.0,15.2,19.2,23.3,24.9,21.1,15.5,10.1,5.2,171.0,107.5,118.4,115.0,130.4,137.7,225.4,201.3,187.6,198.6,227.7,217.3
山形,35332,四,村山,ﾑﾗﾔﾏ,村山,村山市大字大久保字寄込,38,27.6,140,20.9,80,6.7,2,平14.6.4,－,－,38.46,140.34833333333333,2,-1.2,-0.7,2.8,8.9,15.4,19.9,23.2,24.5,20.1,13.3,6.8,1.5,123.6,77.5,70.8,65.2,65.8,91.4,169.3,124.8,106.6,103.8,100.7,144.6
山形,35334,官,東根,ﾋｶﾞｼﾈ,東根,東根市大字羽入字柏原新林　山形航空気象観測所,38,24.7,140,22.2,105,10,－,平15.1.1,－,日照・湿度・気圧を除く,38.41166666666667,140.37,3,-1.1,-0.5,3.1,9.0,15.5,20.0,23.3,24.7,20.5,13.4,7.0,1.6,90.4,53.1,61.6,59.7,63.4,86.1,162.3,123.1,100.3,96.0,80.8,111.3
山形,35361,四,大井沢,ｵｵｲｻﾜ,西川町大井沢,西村山郡西川町大井沢字中村,38,23.4,139,59.6,440,10,1.5,昭53.12.20,35925,湿度を除く,38.39,139.99333333333334,2,-2.3,-2.1,0.6,5.2,12.1,16.9,20.9,21.8,17.5,11.0,5.1,0.1,345.3,226.9,185.0,142.3,138.5,166.7,291.6,197.9,179.4,198.3,268.9,364.4
山形,35376,四,左沢,ｱﾃﾗｻﾞﾜ,大江町左沢,西村山郡大江町本郷字下夕原己,38,22.2,140,11.5,133,6.5,2,#昭51.12.3,35945,湿度を除く,38.37,140.19166666666666,2,-1.3,-1.0,2.3,8.5,14.7,19.0,22.7,23.7,19.4,12.7,6.4,1.2,135.0,93.1,88.8,69.5,78.2,115.4,197.2,140.1,118.3,107.2,117.8,150.2
山形,35426,官,山形,ﾔﾏｶﾞﾀ,山形,山形市緑町　山形地方気象台,38,15.3,140,20.7,153,14.9,－,#昭50.3.17,35927,－,38.255,140.345,1,-0.1,0.4,4.0,10.2,16.2,20.3,23.9,25.0,20.6,14.1,7.7,2.4,87.8,63.0,72.1,63.9,74.5,104.8,187.2,153.0,123.8,105.1,74.4,97.2
山形,35456,四,長井,ﾅｶﾞｲ,長井,長井市平山,38,6.3,140,0.9,210,8.9,3,#昭51.12.10,35930,－,38.105,140.015,2,-0.9,-0.6,2.5,8.8,15.1,19.3,22.9,23.8,19.4,13.0,6.7,1.6,179.4,127.0,120.2,109.4,109.4,141.8,246.4,160.2,139.0,139.1,180.4,204.3
山形,35486,四,小国,ｵｸﾞﾆ,小国,西置賜郡小国町増岡字下林,38,4.7,139,44.1,140,9.9,4,#昭51.12.8,35935,－,38.07833333333333,139.735,2,-0.3,-0.1,2.2,7.7,14.4,18.9,22.7,23.8,19.5,13.1,6.9,1.9,342.1,243.2,202.4,163.0,149.4,191.7,334.2,234.7,190.1,234.9,353.8,416.7
山形,35511,四,高畠,ﾀｶﾊﾀ,高畠,東置賜郡高畠町安久津字加茂川原,38,0.2,140,12.4,220,10,1.5,昭51.12.9,－,湿度を除く,38.00333333333333,140.20666666666668,2,-0.9,-0.6,2.6,9.1,15.3,19.6,23.2,24.3,19.9,13.2,6.8,1.6,113.0,69.5,74.6,65.4,75.7,103.6,184.9,143.4,124.6,114.6,92.1,119.0
山形,35541,四,高峰,ﾀｶﾐﾈ,飯豊町高峰,西置賜郡飯豊町高峰,37,59.4,139,57.2,260,10,1.5,#昭51.11.22,－,湿度を除く,37.99,139.95333333333335,2,-1.2,-0.9,1.8,7.5,14.2,18.5,22.3,23.2,18.9,12.4,6.2,1.2,256.5,161.6,134.7,97.8,95.1,130.7,223.9,173.7,140.6,158.8,213.8,273.2
山形,35552,四,米沢,ﾖﾈｻﾞﾜ,米沢,米沢市アルカディア,37,54.7,140,8.6,245,9.3,2.5,平17.12.1,35940,－,37.91166666666667,140.14333333333337,2,-0.8,-0.5,2.7,9.3,15.6,19.8,23.4,24.5,20.1,13.5,7.1,1.7,159.5,101.8,85.5,67.4,71.1,114.0,177.9,151.4,128.2,117.7,105.0,158.2
福島,36056,四,茂庭,ﾓﾆﾜ,福島市茂庭,福島市飯坂町茂庭字滑滝道,37,53.5,140,26.2,200,6.5,3,平4.10.23,36950,湿度を除く,37.891666666666666,140.43666666666667,2,0.0,0.5,3.4,9.2,14.7,18.5,22.2,23.2,19.3,13.2,7.3,2.3,92.5,60.5,83.0,88.7,90.6,120.4,182.4,165.1,162.1,124.2,82.3,97.3
福島,36066,四,梁川,ﾔﾅｶﾞﾜ,伊達市梁川,伊達市梁川町粟野字作田,37,51.1,140,35.3,43,9.4,1.5,#昭51.12.6,－,湿度を除く,37.85166666666667,140.58833333333334,2,1.3,2.0,5.2,10.9,16.4,20.1,23.7,24.9,20.9,14.8,8.6,3.6,49.9,33.0,64.1,75.1,83.0,109.4,159.2,143.9,158.4,123.4,53.2,41.5
福島,36106,四,桧原,ﾋﾊﾞﾗ,北塩原村桧原,耶麻郡北塩原村桧原字墓下,37,43.3,140,3.5,824,9.4,4,昭53.10.26,－,湿度を除く,37.721666666666664,140.05833333333334,2,-4.2,-4.0,-0.7,5.0,11.5,15.7,19.7,20.6,16.4,10.1,4.2,-1.2,145.1,110.3,119.1,113.1,117.9,151.4,259.2,214.7,160.1,136.2,130.7,165.2
福島,36127,官,福島,ﾌｸｼﾏ,福島,福島市松木町　福島地方気象台,37,45.5,140,28.2,67,－,－,令3.3.18,36955,気温、雨、日照,37.75833333333333,140.47,1,1.9,2.5,5.9,11.7,17.2,20.7,24.3,25.5,21.6,15.6,9.5,4.3,56.2,41.1,75.7,81.8,88.5,121.2,177.7,151.3,167.6,138.7,58.4,48.9
福島,36151,四,相馬,ｿｳﾏ,相馬,相馬市成田字五郎右エ門橋,37,47.0,140,55.5,9,6.5,1.5,#昭51.12.7,－,－,37.78333333333333,140.925,2,2.2,2.5,5.4,10.5,15.5,19.0,22.7,24.2,20.8,15.4,9.7,4.7,47.4,34.6,77.8,97.4,113.0,146.9,190.8,166.8,225.0,198.8,60.3,34.9
福島,36176,四,喜多方,ｷﾀｶﾀ,喜多方,喜多方市字押切,37,39.5,139,51.8,212,9.9,3.5,#昭51.12.13,－,－,37.65833333333333,139.86333333333334,2,-1.0,-0.7,3.0,9.5,15.7,20.1,23.5,24.5,20.1,13.5,6.9,1.7,149.3,108.9,107.2,85.2,84.5,124.3,222.1,168.0,122.4,115.4,113.6,161.2
福島,36196,四,鷲倉,ﾜｼｸﾗ,福島市鷲倉,福島市土湯温泉町字鷲倉山国有林,37,40.1,140,15.6,1220,6.4,3,昭51.11.16,－,－,37.66833333333334,140.26,2,-6.2,-5.8,-2.5,3.5,9.7,13.6,17.5,18.5,14.4,8.5,2.6,-3.2,111.8,70.2,115.1,145.7,165.8,239.4,318.7,309.1,297.6,246.5,124.7,133.5
福島,36221,四,飯舘,ｲｲﾀﾃ,飯舘,相馬郡飯舘村飯樋字笠石,37,39.9,140,43.6,463,10,1.5,昭51.12.4,－,湿度を除く,37.665,140.72666666666666,2,-1.1,-0.6,2.9,8.6,14.0,17.6,21.4,22.4,18.4,12.4,6.7,1.6,60.5,41.1,77.4,103.1,97.8,131.7,174.2,189.5,204.4,170.5,56.3,48.4
福島,36251,四,西会津,ﾆｼｱｲﾂﾞ,西会津,耶麻郡西会津町尾野本字樋ノ口原乙,37,35.3,139,39.4,165,9.9,3.5,(昭50.5.21)昭51.11.24,36905,－,37.58833333333333,139.65666666666667,2,-0.4,-0.2,2.7,9.0,15.1,19.5,23.2,24.2,19.9,13.4,7.0,2.0,193.1,127.0,121.1,91.9,83.6,122.5,233.5,169.0,132.1,134.5,160.3,217.4
福島,36276,四,猪苗代,ｲﾅﾜｼﾛ,猪苗代,耶麻郡猪苗代町大字千代田字中島,37,33.1,140,6.5,519,9.9,3.5,#昭51.11.30,36910,－,37.55166666666667,140.10833333333332,2,-2.1,-1.7,1.6,7.9,13.9,18.1,21.7,22.7,18.6,12.4,6.2,0.7,72.0,53.5,69.3,74.9,86.5,123.4,206.6,142.9,132.2,119.6,89.3,92.7
福島,36291,四,二本松,ﾆﾎﾝﾏﾂ,二本松,二本松市金色久保,37,35.0,140,25.8,235,10,1.5,#昭51.12.3,－,湿度を除く,37.583333333333336,140.43,2,0.8,1.5,4.8,10.6,16.1,19.7,23.4,24.4,20.3,14.3,8.4,3.3,42.5,34.0,74.0,86.8,91.5,125.5,185.5,145.9,166.6,137.6,58.8,40.7
福島,36342,四,金山,ｶﾈﾔﾏ,金山,大沼郡金山町大字中川字沖根原,37,28.4,139,31.7,296,10,4.5,平19.12.19,36921,湿度を除く,37.473333333333336,139.52833333333334,2,-1.0,-0.8,2.1,7.3,14.3,18.5,22.6,23.6,19.2,12.9,6.5,1.3,224.9,137.1,116.1,98.0,77.2,127.4,294.1,182.7,150.8,142.0,171.6,248.5
福島,36361,官,若松,ﾜｶﾏﾂ,若松,会津若松市材木町　若松特別地域気象観測所,37,29.3,139,54.6,212,19.1,－,#昭50.3.17,36923,－,37.48833333333334,139.91,1,-0.3,0.1,3.7,10.1,16.2,20.5,24.0,25.2,20.8,14.1,7.4,2.2,102.4,69.2,77.5,63.1,75.8,108.6,196.4,139.1,124.0,112.6,75.5,108.7
福島,36391,四,船引,ﾌﾈﾋｷ,田村市船引,田村市船引町船引字新房院,37,26.1,140,34.6,421,6.5,1.5,#昭51.12.2,－,－,37.435,140.57666666666665,2,-0.5,0.0,3.3,9.2,14.6,18.4,22.2,23.1,19.1,13.1,7.2,2.1,41.7,33.7,71.5,84.0,90.6,118.4,181.6,149.4,167.4,141.3,60.9,40.1
福島,36411,四,浪江,ﾅﾐｴ,浪江,双葉郡浪江町大字川添字北上ノ原,37,29.5,140,57.9,43,9.9,1.5,#昭51.12.8,－,－,37.49166666666667,140.965,2,2.2,2.7,5.7,10.7,15.5,18.8,22.6,24.0,20.6,15.1,9.7,4.7,59.0,45.6,94.5,119.6,125.8,156.3,193.4,163.4,238.2,225.9,71.1,44.2
福島,36426,四,只見,ﾀﾀﾞﾐ,只見,南会津郡只見町只見字原,37,20.6,139,18.8,377,10.4,4.5,昭51.7.20,36915,－,37.343333333333334,139.31333333333333,2,-1.2,-1.0,1.6,6.8,13.8,18.5,22.4,23.4,19.2,12.8,6.3,1.3,302.3,216.3,164.7,114.6,100.4,147.0,321.1,196.3,151.8,176.5,227.4,321.7
福島,36476,四,郡山,ｺｵﾘﾔﾏ,郡山,郡山市安積町成田字東丸山,37,22.1,140,19.8,249,6.4,1.5,#昭51.3.12,－,－,37.36833333333333,140.33,2,0.9,1.4,4.6,10.5,16.2,20.0,23.5,24.5,20.4,14.5,8.6,3.4,40.9,27.6,66.1,75.4,92.2,120.6,191.2,144.4,162.7,126.5,57.8,38.1
福島,36501,四,川内,ｶﾜｳﾁ,川内,双葉郡川内村上川内字小山平,37,20.2,140,48.5,410,9.9,1.5,昭51.11.30,－,－,37.336666666666666,140.80833333333334,2,-0.5,0.0,3.3,8.8,14.0,17.7,21.7,22.5,18.6,12.6,6.9,2.1,62.3,47.4,95.1,122.4,111.3,141.2,181.2,171.8,234.1,181.0,70.2,48.3
福島,36536,四,南郷,ﾅﾝｺﾞｳ,南会津町南郷,南会津郡南会津町界字梨木平,37,15.9,139,32.2,494,7.9,4.3,#昭51.11.19,36925,－,37.265,139.53666666666666,2,-2.2,-1.9,1.1,7.1,13.9,18.3,22.0,22.9,18.7,12.2,5.7,0.4,126.8,79.1,76.0,65.7,76.6,117.1,225.1,169.6,139.4,134.7,119.7,161.6
福島,36562,四,湯本,ﾕﾓﾄ,天栄村湯本,岩瀬郡天栄村田良尾字持石,37,16.6,140,3.8,646,9.8,2.5,昭63.10.5,36945,－,37.276666666666664,140.06333333333333,2,-2.4,-2.0,1.2,7.2,12.7,16.6,20.5,21.3,17.2,11.2,5.2,0.2,96.0,62.2,99.3,106.1,121.8,162.2,218.4,193.6,224.8,171.5,81.5,94.6
福島,36581,官,玉川,ﾀﾏｶﾜ,玉川,石川郡玉川村大字北須釜字はばき田　福島航空気象観測所,37,13.6,140,25.6,372,10,－,平15.1.1,36965,日照・湿度・気圧を除く,37.22666666666667,140.42666666666668,3,0.3,0.9,4.3,9.8,15.5,19.2,22.6,23.9,19.9,14.0,8.5,3.0,27.3,28.1,63.4,97.6,92.3,108.8,192.0,153.6,154.7,152.2,60.9,43.8
福島,36591,四,小野新町,ｵﾉﾆｲﾏﾁ,小野町小野新町,田村郡小野町小野新町字舘廻,37,17.2,140,37.5,433,9.9,1.5,#昭51.12.1,－,－,37.28666666666667,140.625,2,-0.7,-0.1,3.2,8.8,14.3,18.2,22.2,23.1,19.1,12.9,6.8,1.8,43.6,36.4,76.0,91.2,97.7,117.3,175.5,145.8,197.5,137.8,60.8,41.2
福島,36611,四,広野,ﾋﾛﾉ,広野,双葉郡広野町下北迫字大谷地原,37,14.0,141,0.0,43,10,1.5,(昭50.5.22)昭51.12.13,－,湿度を除く,37.233333333333334,141.0,2,3.3,3.5,6.3,10.9,15.3,18.6,22.4,24.0,21.1,16.0,10.8,5.9,58.3,51.4,109.5,133.8,151.5,165.3,191.3,143.5,222.7,227.1,85.7,52.2
