都府県振興局,観測所番号,種類,観測所名,ｶﾀｶﾅ名,気象情報等に表記する名称,所在地,緯度(度),緯度(分),経度(度),経度(分),海面上の高さ(ｍ),風速計の高さ(ｍ),温度計の高さ(ｍ),観測開始年月日,備考1,備考2,latitude,longitude,観測所種別,temp_jan,temp_feb,temp_mar,temp_apr,temp_may,temp_jun,temp_jul,temp_aug,temp_sep,temp_oct,temp_nov,temp_dec,rain_jan,rain_feb,rain_mar,rain_apr,rain_may,rain_jun,rain_jul,rain_aug,rain_sep,rain_oct,rain_nov,rain_dec
上川,12181,四,名寄,ﾅﾖﾛ,名寄市大橋,名寄市大橋,44,22.2,142,27.4,89,9.9,1.5,#昭51.4.1,12910,－,44.37,142.45666666666668,2,-8.6,-8.0,-3.0,3.8,10.8,15.6,19.5,19.9,15.2,8.3,1.5,-5.4,49.4,38.7,44.2,45.5,60.6,65.2,129.4,136.1,138.1,115.6,108.5,83.1
上川,12231,四,下川,ｼﾓｶﾜ,下川,上川郡下川町南町,44,17.7,142,38.2,143,10,2.4,#昭52.10.14,12925,湿度を除く,44.295,142.63666666666666,2,-8.8,-8.2,-3.3,3.6,10.2,14.8,18.8,19.4,14.7,7.9,1.3,-5.4,36.8,28.2,37.3,42.8,62.9,64.1,126.8,143.6,147.0,118.8,95.8,60.7
上川,12261,四,士別,ｼﾍﾞﾂ,士別市九十九東,士別市武徳町,44,11.2,142,25.0,135,8,1.5,#昭52.10.13,－,湿度を除く,44.18666666666667,142.41666666666666,2,-8.5,-7.7,-2.8,4.2,11.2,15.8,19.7,20.1,15.5,8.8,1.7,-5.2,64.2,49.2,52.2,46.7,62.9,66.3,130.5,152.3,148.8,116.0,125.7,102.3
上川,12266,四,朝日,ｱｻﾋ,士別市朝日,士別市朝日町中央,44,7.1,142,35.7,225,10,1.5,昭52.10.13,－,湿度を除く,44.11833333333333,142.595,2,-8.0,-7.4,-2.9,3.9,10.9,15.8,19.7,20.0,15.2,8.3,1.5,-5.0,48.2,37.1,47.3,49.4,69.5,73.1,139.2,149.1,151.0,123.1,104.8,76.2
上川,12301,四,和寒,ﾜｯｻﾑ,和寒,上川郡和寒町日ノ出,44,1.7,142,24.6,150,10,1.5,昭52.10.12,12915,湿度を除く,44.028333333333336,142.41,2,-8.3,-7.6,-2.6,4.5,11.6,16.3,20.1,20.5,15.8,9.0,1.9,-4.9,61.2,52.7,58.6,53.8,68.3,65.1,128.0,140.9,143.3,115.6,127.3,100.4
上川,12386,四,江丹別,ｴﾀﾝﾍﾞﾂ,旭川市江丹別,旭川市江丹別町芳野,43,52.2,142,15.6,140,10,3.2,昭52.10.11,－,湿度を除く,43.87,142.26,2,-9.1,-8.4,-3.3,3.1,10.6,15.7,19.8,20.0,15.1,8.0,1.1,-5.7,96.8,78.6,76.0,62.7,80.0,71.1,144.2,158.8,166.9,147.4,165.0,147.4
上川,12396,四,比布,ﾋﾟｯﾌﾟ,比布,上川郡比布町北2線,43,52.2,142,28.2,164,10,2.5,(昭50.5.27)昭52.10.11,－,湿度を除く,43.87,142.47,2,-8.3,-7.3,-2.5,4.6,11.8,16.6,20.4,20.6,15.8,8.8,1.7,-5.2,52.6,41.7,47.5,48.7,74.4,70.7,143.7,154.1,146.8,111.0,107.0,80.6
上川,12411,四,上川,ｶﾐｶﾜ,上川町栄町,上川郡上川町栄町,43,50.8,142,45.2,324,10,2.4,#昭52.10.12,12920,湿度を除く,43.846666666666664,142.75333333333333,2,-8.4,-7.8,-3.3,3.3,10.4,15.3,19.2,19.4,14.5,7.6,0.8,-5.6,32.6,27.1,41.8,51.2,83.4,81.5,160.8,177.5,149.3,126.0,99.4,55.7
上川,12442,官,旭川,ｱｻﾋｶﾜ,旭川市宮前１条,旭川市宮前1条　旭川地方気象台,43,45.4,142,22.3,120,47,－,平16.9.9,12927,－,43.75666666666667,142.37166666666667,1,-7.0,-6.0,-1.4,5.6,12.3,17.0,20.7,21.2,16.4,9.4,2.3,-4.2,66.9,54.7,55.0,48.5,66.6,71.4,129.5,152.9,136.3,105.8,114.5,102.4
上川,12451,四,東川,ﾋｶﾞｼｶﾜ,東川,上川郡東川町北町,43,42.1,142,30.5,215,10,2.2,昭52.10.5,－,湿度を除く,43.70166666666667,142.50833333333333,2,-8.1,-7.3,-2.5,4.8,11.8,16.5,20.3,20.5,15.7,8.8,2.0,-4.9,37.8,33.2,39.1,44.7,69.5,78.0,139.0,157.9,132.1,95.5,90.3,66.1
上川,12512,四,志比内,ｼﾋﾞﾅｲ,東神楽町志比内,上川郡東神楽町志比内,43,38.6,142,34.9,310,10,1.5,平4.10.9,－,湿度を除く,43.64333333333333,142.58166666666668,2,-8.3,-7.5,-2.9,3.9,11.0,15.5,19.6,19.9,15.2,8.3,1.4,-5.3,42.7,36.8,50.0,54.3,76.5,79.8,131.6,179.9,131.8,105.5,99.4,74.0
上川,12551,四,美瑛,ﾋﾞｴｲ,美瑛町原野５線,上川郡美瑛町原野5線,43,35.3,142,29.6,250,10,1.5,(昭50.5.28)昭52.10.6,12935,湿度を除く,43.58833333333333,142.49333333333334,2,-8.7,-7.9,-3.0,4.4,11.3,15.9,19.7,20.0,15.2,8.3,1.5,-5.5,41.1,38.3,47.0,49.5,68.5,69.5,121.2,168.3,129.0,96.0,94.5,73.5
上川,12596,四,上富良野,ｶﾐﾌﾗﾉ,上富良野,空知郡上富良野町大町,43,27.3,142,27.9,220,10,2.1,昭52.10.8,－,湿度を除く,43.455,142.465,2,-8.1,-7.2,-2.2,5.1,12.1,16.8,20.7,20.9,16.1,9.0,2.0,-5.0,44.8,38.0,45.6,47.8,63.6,73.7,123.4,166.8,132.8,90.4,93.4,72.3
上川,12626,四,富良野,ﾌﾗﾉ,富良野市東町,富良野市東町,43,20.0,142,24.0,174,9.9,1.5,#昭51.4.1,12940,－,43.333333333333336,142.4,2,-8.3,-7.4,-2.2,5.3,12.1,16.8,20.6,20.8,16.1,9.2,2.1,-5.1,44.3,36.5,49.8,55.4,67.5,64.5,116.0,168.6,147.3,106.8,104.2,71.2
上川,12632,四,麓郷,ﾛｸｺﾞｳ,富良野市麓郷,富良野市麓郷市街地,43,18.1,142,31.3,315,10,2.3,昭53.10.25,－,湿度を除く,43.30166666666667,142.52166666666668,2,-8.5,-7.7,-2.9,4.1,10.9,15.6,19.6,19.9,15.2,8.1,1.1,-5.6,47.0,38.3,53.2,59.9,67.3,64.7,119.5,165.6,135.8,102.1,101.9,73.7
上川,12691,四,幾寅,ｲｸﾄﾗ,南富良野町幾寅,空知郡南富良野町幾寅,43,10.1,142,34.1,350,9.9,1.5,昭52.10.7,12945,－,43.16833333333334,142.56833333333333,2,-8.4,-7.6,-2.8,3.8,10.4,14.9,18.8,19.2,14.8,8.0,1.5,-5.2,38.4,32.8,54.2,72.4,82.8,71.0,119.3,187.0,153.3,112.2,100.8,66.5
