都府県振興局,観測所番号,種類,観測所名,ｶﾀｶﾅ名,気象情報等に表記する名称,所在地,緯度(度),緯度(分),経度(度),経度(分),海面上の高さ(ｍ),風速計の高さ(ｍ),温度計の高さ(ｍ),観測開始年月日,備考1,備考2,latitude,longitude
上川,12596,四,上富良野,ｶﾐﾌﾗﾉ,上富良野,空知郡上富良野町大町,43,27.3,142,27.9,220,10,2.1,昭52.10.8,－,湿度を除く,43.455,142.465
上川,12626,四,富良野,ﾌﾗﾉ,富良野市東町,富良野市東町,43,20.0,142,24.0,174,9.9,1.5,#昭51.4.1,12940,－,43.333333333333336,142.4
上川,12632,四,麓郷,ﾛｸｺﾞｳ,富良野市麓郷,富良野市麓郷市街地,43,18.1,142,31.3,315,10,2.3,昭53.10.25,－,湿度を除く,43.30166666666667,142.52166666666668
上川,12691,四,幾寅,ｲｸﾄﾗ,南富良野町幾寅,空知郡南富良野町幾寅,43,10.1,142,34.1,350,9.9,1.5,昭52.10.7,12945,－,43.16833333333334,142.56833333333333
上川,12746,四,占冠,ｼﾑｶｯﾌﾟ,占冠,勇払郡占冠村中央,42,58.7,142,23.7,332,10,1.5,昭52.10.7,12950,湿度を除く,42.97833333333333,142.395
上川,15041,四,朱鞠内,ｼｭﾏﾘﾅｲ,幌加内町朱鞠内,雨竜郡幌加内町朱鞠内,44,16.9,142,9.7,255,9.9,1.5,昭53.10.24,15900,－,44.281666666666666,142.16166666666666
上川,15076,四,幌加内,ﾎﾛｶﾅｲ,幌加内町幌加内,雨竜郡幌加内町幌加内,44,0.6,142,9.6,159,9.4,1.5,(昭50.5.28)昭52.10.28,15905,湿度を除く,44.01,142.16
留萌,13061,四,天塩,ﾃｼｵ,天塩,天塩郡天塩町川口,44,53.6,141,45.7,9,9.9,1.5,#昭52.10.26,13900,－,44.89333333333333,141.76166666666666
留萌,13086,四,遠別,ｴﾝﾍﾞﾂ,遠別,天塩郡遠別町幸和,44,43.1,141,48.4,7,10,1.5,#昭52.10.26,－,湿度を除く,44.718333333333334,141.80666666666667
留萌,13121,四,初山別,ｼｮｻﾝﾍﾞﾂ,初山別,苫前郡初山別村初山別,44,31.4,141,46.2,27,9.9,1.5,昭52.10.28,13905,－,44.52333333333333,141.77
留萌,13146,四,焼尻,ﾔｷﾞｼﾘ,羽幌町焼尻,苫前郡羽幌町焼尻白浜,44,25.7,141,25.3,38,8,1.5,昭52.10.27,－,湿度を除く,44.428333333333335,141.42166666666665
留萌,13181,官,羽幌,ﾊﾎﾞﾛ,羽幌町南３条,苫前郡羽幌町南3条　羽幌特別地域気象観測所,44,21.8,141,42.0,8,21.6,－,#昭51.1.1,13907,－,44.36333333333334,141.7
留萌,13261,四,達布,ﾀｯﾌﾟ,小平町達布,留萌郡小平町達布,44,2.9,141,51.4,30,10,3.4,昭52.10.31,－,湿度を除く,44.04833333333333,141.85666666666665
留萌,13277,官,留萌,ﾙﾓｲ,留萌市大町,留萌市大町　留萌特別地域気象観測所,43,56.7,141,37.9,24,16.3,－,昭55.6.21,13915,－,43.945,141.63166666666666
留萌,13311,四,増毛,ﾏｼｹ,増毛,増毛郡増毛町別苅,43,50.9,141,30.6,20,9.4,1.5,#昭53.10.24,－,湿度を除く,43.848333333333336,141.51
留萌,13321,四,幌糠,ﾎﾛﾇｶ,留萌市幌糠,留萌市幌糠町,43,51.2,141,45.6,20,10,1.5,昭52.10.31,13920,湿度を除く,43.85333333333333,141.76
石狩,14026,四,浜益,ﾊﾏﾏｽ,石狩市浜益,石狩市浜益区川下,43,34.9,141,23.2,3,9.9,1.5,昭52.10.12,－,－,43.58166666666666,141.38666666666666
石狩,14071,四,厚田,ｱﾂﾀ,石狩市厚田,石狩市厚田区別狩,43,23.8,141,26.2,5,10,1.5,昭52.10.12,14900,湿度を除く,43.39666666666667,141.43666666666667
石狩,14101,四,新篠津,ｼﾝｼﾉﾂ,新篠津,石狩郡新篠津村第46線北,43,13.2,141,38.7,9,10,1.5,#昭53.10.23,14910,湿度を除く,43.22,141.645
石狩,14116,四,山口,ﾔﾏｸﾞﾁ,札幌市手稲区山口,札幌市手稲区手稲山口,43,8.9,141,13.3,5,10,1.5,#昭52.10.11,－,湿度を除く,43.14833333333333,141.22166666666666
石狩,14121,四,石狩,ｲｼｶﾘ,石狩市石狩,石狩市生振,43,11.6,141,22.2,5,10.1,1.5,平2.3.6,14905,－,43.193333333333335,141.37
石狩,14136,四,江別,ｴﾍﾞﾂ,江別,江別市江別太,43,6.6,141,36.1,8,8,1.5,平12.10.31,－,湿度を除く,43.11,141.60166666666666
石狩,14163,官,札幌,ｻｯﾎﾟﾛ,札幌市中央区,札幌市中央区北2条西　札幌管区気象台,43,3.6,141,19.7,17,－,－,平13.9.26,14913,気温、雨、日照,43.06,141.32833333333335
石狩,14206,四,恵庭島松,ｴﾆﾜｼﾏﾏﾂ,恵庭市島松,恵庭市下島松,42,55.6,141,33.9,30,9.9,1.5,#昭52.10.13,14920,－,42.92666666666667,141.565
石狩,14286,四,支笏湖畔,ｼｺﾂｺﾊﾝ,千歳市支笏湖畔,千歳市支笏湖温泉番外地,42,46.3,141,24.4,290,10,1.5,#昭52.10.14,－,湿度を除く,42.77166666666667,141.40666666666667
石狩,14296,官,千歳,ﾁﾄｾ,新千歳空港,千歳市美々　新千歳航空測候所,42,46.5,141,41.5,22,10,－,平15.1.1,14923,日照・湿度・気圧を除く,42.775,141.69166666666666
空知,15116,四,石狩沼田,ｲｼｶﾘﾇﾏﾀ,沼田町石狩沼田,雨竜郡沼田町緑町,43,48.9,141,55.6,63,9.9,1.5,#昭51.4.1,15935,－,43.815,141.92666666666668
