都府県振興局,観測所名,temp_jan,temp_feb,temp_mar,temp_apr,temp_may,temp_jun,temp_jul,temp_aug,temp_sep,temp_oct,temp_nov,temp_dec,rain_jan,rain_feb,rain_mar,rain_apr,rain_may,rain_jun,rain_jul,rain_aug,rain_sep,rain_oct,rain_nov,rain_dec
東京,父島,18.5,18.1,19.3,21.1,23.4,26.2,27.7,28.0,27.7,26.4,23.8,20.6,63.6,51.6,75.8,113.3,151.9,111.8,79.5,123.3,144.2,141.7,136.1,103.3
東京,南鳥島,22.4,21.8,22.5,24.3,26.1,28.0,28.5,28.4,28.5,27.9,26.5,24.5,69.7,43.4,56.0,59.6,100.6,44.3,139.8,177.1,94.8,89.6,83.0,90.8
愛媛,大三島,5.5,5.6,8.4,13.1,17.6,21.3,25.3,26.8,23.4,18.0,12.5,7.7,40.8,54.0,89.5,98.0,116.2,186.3,194.6,93.5,133.4,96.3,66.0,50.1
愛媛,今治,5.9,6.1,9.0,13.7,18.4,22.0,26.2,27.4,24.0,18.6,13.0,8.1,49.6,59.8,96.6,97.0,111.8,196.2,191.8,93.8,165.2,122.2,69.6,59.4
愛媛,西条,5.7,6.0,9.1,14.0,18.9,22.5,26.6,27.4,23.7,18.4,12.9,7.9,53.2,69.1,109.7,103.3,127.0,208.9,185.6,125.2,230.1,151.9,70.5,59.3
愛媛,四国中央,5.9,6.2,9.3,14.4,19.3,22.7,26.9,27.9,24.1,18.6,13.2,8.3,44.9,56.2,94.9,89.2,113.2,175.8,198.7,162.6,232.5,142.5,69.5,64.5
愛媛,松山,6.2,6.8,9.9,14.8,19.4,22.9,27.1,28.1,24.6,19.1,13.6,8.5,50.9,65.7,105.1,107.3,129.5,228.7,223.5,99.0,148.9,113.0,71.3,61.8
愛媛,松山南吉田,6.7,7.4,10.0,14.3,18.6,21.9,26.0,27.5,24.7,19.8,14.4,9.1,40.5,63.0,91.5,96.3,111.7,196.4,225.7,93.8,151.7,108.5,66.4,61.9
愛媛,長浜,6.5,6.8,9.4,13.6,17.7,21.2,25.4,26.5,23.5,18.6,13.5,8.7,44.5,59.2,94.7,107.1,132.4,243.7,207.8,106.4,147.0,97.6,71.1,59.9
愛媛,久万,1.6,2.5,6.1,11.4,16.3,20.1,24.0,24.5,20.7,14.6,8.8,3.6,89.0,98.5,135.5,131.0,164.5,290.0,286.9,224.3,246.8,134.6,97.8,105.0
愛媛,大洲,5.1,5.8,9.2,14.2,18.9,22.6,26.7,27.4,23.7,17.8,12.1,7.0,74.8,87.4,119.5,127.5,149.8,282.9,234.9,138.1,175.6,124.0,94.5,94.9
愛媛,瀬戸,6.7,7.2,9.7,13.9,18.0,21.0,24.8,26.2,23.4,19.2,14.4,9.2,65.1,75.1,110.5,118.2,155.8,285.7,218.7,104.9,193.9,138.6,85.8,74.4
愛媛,宇和,4.3,5.2,8.5,13.5,18.2,21.8,25.8,26.6,23.0,17.2,11.6,6.3,76.1,94.8,139.1,152.1,189.0,311.0,282.7,140.3,197.8,125.0,101.5,91.0
愛媛,宇和島,7.0,7.6,10.7,15.3,19.5,22.8,26.8,27.7,24.5,19.3,14.1,9.1,61.2,74.8,115.6,116.7,149.0,286.0,245.0,177.1,215.9,129.8,86.4,70.2
愛媛,近永,4.8,5.7,9.0,14.0,18.5,21.9,25.8,26.5,23.2,17.6,11.9,6.6,74.2,91.8,137.0,148.3,178.0,319.6,314.5,259.6,294.5,153.5,96.6,84.8
愛媛,御荘,7.3,8.0,10.9,15.4,19.5,22.6,26.5,27.5,24.4,19.3,14.3,9.4,69.3,90.8,139.0,151.5,199.1,318.2,247.6,186.9,228.2,148.2,104.4,80.8
奈良,奈良,4.5,5.1,8.5,14.0,19.0,22.9,26.8,27.8,23.8,17.7,11.8,6.8,52.4,63.1,105.1,98.9,138.5,184.1,173.5,127.9,159.0,134.7,71.2,56.8
奈良,針,1.3,1.7,5.1,10.6,15.7,19.5,23.5,24.3,20.4,14.4,8.6,3.5,61.8,67.2,116.0,110.6,149.6,208.6,209.7,143.1,189.5,163.9,85.8,62.9
奈良,大宇陀,2.1,2.6,5.9,11.4,16.5,20.4,24.3,25.1,21.2,15.1,9.2,4.2,65.1,77.2,113.0,107.6,138.8,194.5,202.5,151.5,181.5,168.1,86.2,67.1
奈良,五條,3.3,4.2,7.6,12.5,17.8,21.5,25.4,26.5,22.4,16.6,10.6,5.6,58.4,79.2,104.7,96.5,119.2,177.7,215.1,126.2,167.4,171.6,72.9,64.6
奈良,上北山,2.9,3.7,7.1,12.0,16.6,20.1,23.9,24.6,21.2,15.5,9.9,4.8,80.7,104.4,164.2,175.2,223.4,316.1,397.1,450.5,499.7,277.1,119.9,87.7
奈良,風屋,3.4,4.0,7.3,12.4,17.0,20.5,24.3,25.0,21.6,16.0,10.4,5.4,79.0,103.1,162.6,168.4,208.0,341.0,395.7,299.5,351.4,219.3,109.9,81.8
佐賀,唐津,6.3,7.2,10.4,14.5,19.1,22.2,26.4,27.6,23.7,19.0,13.6,8.1,75.4,85.4,117.0,146.3,125.5,280.0,349.0,314.1,191.3,126.7,85.7,94.6
佐賀,伊万里,5.4,6.4,9.5,14.2,18.6,22.2,26.4,27.2,23.3,17.9,12.4,7.3,78.6,93.8,148.6,188.2,197.2,355.6,367.9,272.0,224.1,105.0,107.4,83.6
佐賀,佐賀,5.8,7.0,10.4,15.3,20.0,23.5,27.2,28.2,24.5,19.1,13.3,7.8,54.1,77.5,120.6,161.7,182.9,327.0,366.8,252.4,169.3,90.1,89.4,59.5
佐賀,嬉野,4.5,5.6,8.9,13.8,18.4,21.9,26.0,26.6,22.8,17.2,11.5,6.4,71.5,96.1,152.7,194.1,207.4,396.7,400.6,277.7,227.9,111.6,109.4,78.2
佐賀,白石,5.0,6.2,9.6,14.5,19.3,23.1,27.0,27.6,23.8,18.1,12.3,7.0,53.7,71.3,109.8,145.1,154.9,309.5,354.0,219.4,171.2,88.8,85.9,59.4
佐賀,川副,5.0,6.6,9.7,14.4,19.3,23.0,26.9,27.9,24.2,18.6,12.8,7.0,40.4,73.7,97.3,123.9,149.4,265.4,370.6,212.5,157.1,90.9,73.9,59.4
群馬,藤原,-2.5,-2.2,0.9,6.3,12.7,17.0,20.8,21.6,17.7,11.6,5.5,0.2,219.4,163.2,124.1,89.6,105.2,130.3,191.3,185.0,176.3,136.4,104.6,189.8
群馬,みなかみ,-1.2,-0.8,2.3,8.2,14.0,18.0,21.8,22.7,18.8,12.7,6.7,1.4,154.9,125.9,114.0,99.7,114.5,152.0,215.8,210.6,199.9,140.5,90.9,144.9
群馬,草津,-4.1,-3.6,-0.1,6.0,11.4,14.9,18.9,19.6,15.6,9.9,4.4,-1.2,68.5,66.1,90.6,106.2,150.7,218.3,263.5,236.8,254.6,162.5,63.9,60.4
群馬,沼田,-0.1,0.7,4.4,10.4,15.9,19.8,23.7,24.6,20.4,14.1,7.8,2.5,42.0,42.8,64.7,65.3,90.4,130.1,178.4,168.1,152.3,113.1,47.4,37.8
群馬,中之条,0.4,1.2,4.8,10.5,15.9,19.8,23.7,24.6,20.4,14.2,7.8,2.7,33.5,31.9,64.9,79.8,106.8,157.0,185.8,196.2,213.6,134.4,51.1,29.0
群馬,田代,-4.5,-4.0,-0.4,5.7,11.2,14.9,19.1,19.6,15.5,9.5,3.8,-1.6,52.4,55.5,96.4,107.9,132.0,180.0,207.5,165.2,220.2,167.8,72.2,46.2
群馬,前橋,3.7,4.5,7.9,13.4,18.6,22.1,25.8,26.8,22.9,17.1,11.2,6.1,29.7,26.5,58.3,74.8,99.4,147.8,202.1,195.6,204.3,142.2,43.0,23.8
群馬,桐生,3.4,4.3,7.8,13.2,18.1,21.5,25.2,26.2,22.5,16.7,10.8,5.7,33.2,28.4,63.9,83.9,110.0,152.8,201.3,180.1,178.6,155.3,53.1,28.5
群馬,上里見,2.6,3.5,7.0,12.6,17.6,21.2,24.9,25.8,21.8,16.0,10.0,4.9,29.1,26.8,61.0,78.9,112.2,173.1,221.4,221.6,214.2,147.7,45.4,23.6
群馬,伊勢崎,4.1,4.9,8.4,13.7,19.1,22.6,26.3,27.4,23.5,17.6,11.6,6.3,28.8,25.3,49.8,73.5,99.3,139.9,190.4,169.9,184.4,149.7,43.0,27.1
群馬,西野牧,1.1,1.9,5.3,10.9,15.9,19.5,23.3,24.2,20.2,14.2,8.2,3.3,27.7,27.9,57.6,75.1,106.1,163.1,203.1,189.0,205.4,156.0,40.5,20.9
群馬,館林,4.0,4.9,8.5,14.0,18.9,22.4,26.1,27.3,23.4,17.6,11.5,6.2,37.2,34.2,70.1,84.6,114.2,142.3,158.6,143.9,167.9,160.6,56.0,33.0
群馬,神流,0.6,1.7,5.3,10.8,15.8,19.3,23.0,23.8,19.8,13.9,7.6,2.6,32.1,24.7,58.9,74.2,97.1,143.4,181.5,180.9,224.3,173.5,37.4,22.4
根室,羅臼,-4.5,-4.8,-1.1,2.9,7.8,11.5,15.4,17.8,15.7,10.1,4.1,-1.4,89.7,66.6,93.9,111.7,144.0,119.4,125.4,200.5,204.7,214.1,150.7,133.8
根室,標津,-5.4,-5.5,-1.6,3.4,8.1,11.5,15.4,18.0,16.1,10.4,3.8,-2.6,38.0,28.0,54.3,82.8,109.8,111.9,123.1,161.2,174.5,125.2,78.5,62.4
根室,上標津,-6.7,-6.4,-2.1,3.0,8.8,12.8,16.7,18.5,15.5,9.2,2.7,-3.7,45.1,37.9,57.8,85.4,108.6,107.6,124.5,192.5,152.9,124.1,80.9,73.4
根室,中標津,-6.6,-6.5,-2.0,3.6,8.9,12.6,16.4,18.3,15.7,9.7,3.0,-3.7,44.0,32.0,57.5,84.2,107.5,103.9,121.6,175.5,177.2,134.1,80.5,65.8
根室,別海,-6.7,-6.5,-1.9,3.6,8.7,12.3,16.2,18.1,15.4,9.5,2.9,-3.8,38.2,27.4,55.2,79.0,107.2,111.4,121.9,154.9,184.2,125.9,79.0,63.8
根室,根室,-3.4,-3.8,-0.8,3.5,7.7,10.9,14.9,17.4,16.2,11.6,5.6,-0.5,30.6,23.5,47.0,64.4,96.2,103.0,115.1,132.3,160.0,126.1,83.2,59.0
根室,納沙布,-3.0,-3.7,-1.0,3.0,6.8,10.1,14.0,16.8,16.0,11.7,5.8,-0.2,18.9,14.6,37.4,53.9,82.9,93.6,107.7,116.3,130.6,103.3,75.2,49.2
根室,厚床,-6.0,-5.8,-1.7,3.3,7.9,11.5,15.4,17.5,15.4,9.9,3.6,-3.1,37.2,27.7,57.8,78.8,110.2,117.1,124.7,142.6,172.9,137.0,85.3,67.5
青森,大間,0.0,0.2,3.1,7.6,11.5,15.1,19.3,21.7,19.5,14.0,8.0,2.2,60.1,52.6,62.3,74.1,89.3,80.6,128.7,173.8,149.0,111.2,96.7,79.8
青森,むつ,-1.2,-0.9,2.3,7.6,12.5,16.1,20.1,21.8,18.7,12.7,6.8,1.2,102.2,86.8,85.3,78.7,98.3,95.1,129.5,171.8,163.8,120.8,114.9,110.5
青森,小田野沢,-1.0,-0.7,2.3,7.2,11.5,14.7,18.9,21.2,18.7,12.9,6.8,1.2,75.2,61.7,71.8,76.5,100.1,112.8,147.0,179.4,172.7,127.0,98.6,90.0
青森,今別,-0.8,-0.4,2.5,7.7,12.4,16.0,20.3,22.1,18.9,13.0,7.0,1.4,137.0,103.1,98.1,98.5,105.6,86.6,129.4,191.9,167.2,159.0,176.4,167.0
青森,脇野沢,-0.6,-0.4,2.5,7.4,12.1,15.9,20.0,21.9,18.9,13.2,7.3,1.7,108.6,75.1,68.6,74.4,92.3,93.5,133.0,176.0,152.6,107.7,123.3,121.8
青森,市浦,-0.6,-0.2,2.8,7.8,12.7,16.7,20.9,22.7,19.2,13.2,7.2,1.8,117.6,83.9,76.1,77.9,94.3,84.8,118.4,166.6,154.8,137.9,154.8,135.6
青森,蟹田,-1.4,-1.0,2.0,7.2,12.1,16.0,20.3,22.2,18.7,12.2,6.2,0.7,104.0,83.5,78.9,84.4,105.0,102.1,139.6,177.7,161.2,129.3,139.3,125.5
青森,五所川原,-1.1,-0.7,2.5,8.5,14.1,18.0,22.0,23.4,19.5,13.1,6.9,1.3,120.7,81.9,64.1,62.6,69.2,74.9,113.3,139.2,133.9,131.3,147.8,141.5
青森,青森,-0.9,-0.4,2.8,8.5,13.7,17.6,21.8,23.5,19.9,13.5,7.2,1.4,139.9,99.0,75.2,68.7,76.7,75.0,129.5,142.0,133.0,119.2,137.4,155.2
青森,野辺地,-0.7,-0.5,2.6,7.3,12.4,16.0,20.4,22.1,19.1,13.2,7.3,1.6,81.5,66.4,84.2,75.5,82.4,89.5,137.0,196.8,148.0,132.5,85.0,109.8
青森,六ケ所,-1.5,-1.2,1.9,7.3,12.1,15.4,19.4,21.3,18.4,12.6,6.5,0.8,106.4,81.0,74.2,68.4,93.8,108.4,151.4,176.8,169.8,130.6,105.0,125.4
青森,鰺ケ沢,-0.2,0.1,3.0,8.2,13.2,17.1,21.3,22.8,19.3,13.4,7.6,2.1,108.0,79.5,73.0,72.5,78.7,83.3,127.1,157.4,154.3,149.1,159.0,144.9
青森,青森大谷,-2.9,-2.3,0.9,6.4,12.4,16.4,20.3,22.0,17.9,11.5,5.5,-0.4,87.4,66.2,54.7,73.0,64.2,72.0,130.9,142.5,141.0,132.1,130.1,110.2
青森,深浦,0.0,0.3,3.2,8.5,13.5,17.5,21.7,23.2,19.5,13.6,7.9,2.4,100.3,84.0,84.3,90.5,120.2,98.5,145.1,174.9,163.6,170.4,159.6,137.6
青森,弘前,-1.5,-1.0,2.3,8.6,14.3,18.3,22.3,23.5,19.4,12.9,6.5,0.8,125.5,99.9,82.3,65.8,66.3,71.9,115.3,140.7,136.3,107.7,113.7,130.1
青森,黒石,-1.8,-1.4,2.0,8.3,14.0,17.9,21.8,23.0,19.0,12.7,6.5,0.7,82.1,60.5,49.1,58.4,63.4,66.3,117.5,127.9,125.9,107.2,108.7,92.9
青森,酸ケ湯,-7.5,-6.9,-3.5,2.8,9.1,13.6,17.7,18.4,14.1,7.7,1.2,-4.9,117.7,80.1,82.4,106.0,117.0,136.1,178.1,211.0,223.0,218.0,195.6,167.7
青森,三沢,-1.1,-0.6,2.8,8.3,13.2,16.3,20.3,22.2,19.2,13.3,7.0,1.2,51.7,45.7,58.2,62.4,88.2,105.8,143.0,156.4,164.0,105.6,68.1,61.2
青森,十和田,-1.7,-1.3,2.2,8.0,13.4,16.8,20.6,22.1,18.5,12.3,6.3,0.6,37.8,35.2,50.5,59.7,80.5,94.3,146.0,159.8,159.9,108.8,58.6,51.2
青森,八戸,-0.7,-0.2,3.1,8.6,13.5,16.7,20.7,22.6,19.4,13.5,7.3,1.7,43.6,40.4,56.6,63.4,88.1,103.7,136.9,141.8,156.3,110.1,55.5,48.9
青森,碇ケ関,-3.0,-2.4,1.0,7.3,13.5,17.7,21.6,22.6,18.3,11.6,5.1,-0.6,112.0,101.1,110.8,111.0,106.0,97.3,164.0,209.4,163.1,137.4,157.6,141.7
青森,休屋,-3.7,-3.3,-0.3,5.2,11.2,15.5,19.7,20.9,17.0,10.7,4.5,-1.2,66.1,68.8,92.7,108.1,118.1,121.5,211.7,220.2,177.7,152.5,127.5,94.8
青森,三戸,-1.8,-1.2,2.4,8.5,14.2,18.0,21.8,22.9,18.8,12.1,6.0,0.6,49.4,49.1,63.3,65.0,81.9,96.4,161.4,160.3,159.4,114.0,66.1,64.8
留萌,天塩,-5.4,-5.3,-1.4,4.3,9.6,13.8,18.1,19.5,16.2,10.4,3.5,-2.5,44.6,31.5,34.4,41.4,61.2,56.0,109.2,123.5,124.1,127.0,100.5,60.1
留萌,遠別,-5.8,-5.6,-1.4,4.6,10.4,14.8,18.9,20.0,16.3,10.2,3.4,-2.8,73.3,52.4,53.1,50.2,68.9,65.0,123.0,142.5,126.0,134.9,129.4,97.4
留萌,初山別,-4.6,-4.4,-0.6,5.1,10.6,14.9,19.0,20.2,16.7,10.9,4.2,-1.8,56.7,43.1,46.5,49.2,72.2,64.9,128.8,136.1,135.9,143.6,135.3,87.6
留萌,羽幌,-4.3,-4.0,-0.1,5.5,11.2,15.5,19.6,20.9,17.4,11.2,4.4,-1.7,116.5,82.2,67.8,58.1,72.2,67.8,129.8,136.6,143.8,152.0,161.1,149.9
留萌,達布,-6.4,-5.9,-1.6,4.2,11.0,15.8,19.9,20.5,15.9,9.2,2.7,-3.5,155.2,106.7,90.9,74.2,88.0,73.9,148.1,167.8,172.0,178.5,202.9,198.9
留萌,留萌,-4.1,-3.7,0.0,5.5,11.1,15.4,19.6,20.9,17.2,11.1,4.4,-1.5,95.8,68.5,53.5,43.2,59.7,56.3,113.9,126.6,145.4,131.4,140.0,119.9
留萌,増毛,-3.3,-3.0,0.5,6.0,11.4,15.4,19.5,20.9,17.4,11.5,4.9,-1.0,79.5,52.2,48.2,42.1,54.6,54.4,104.3,121.6,143.4,142.3,145.6,98.0
留萌,焼尻,-3.3,-3.1,0.3,5.3,10.1,14.4,18.6,20.7,18.1,12.3,4.9,-1.2,47.8,32.2,32.6,37.8,59.3,58.2,109.1,118.2,124.8,117.1,105.9,70.4
留萌,幌糠,-6.5,-6.1,-1.8,3.9,10.9,15.5,19.6,20.3,15.7,9.1,2.5,-3.6,161.5,106.9,82.4,57.2,66.7,59.8,119.4,135.4,162.4,160.4,202.8,194.4
後志,美国,-4.0,-3.5,-0.1,5.5,11.4,15.2,19.4,20.5,16.6,10.3,3.6,-2.2,203.0,145.2,119.2,96.2,82.5,60.3,123.6,169.7,208.6,193.8,246.6,252.1
後志,神恵内,-2.3,-1.9,1.4,6.7,11.7,15.7,19.8,21.4,18.3,12.5,5.9,-0.2,94.8,72.1,59.8,65.1,88.0,69.4,140.3,142.8,153.8,133.4,122.1,117.4
後志,余市,-3.8,-3.3,0.4,6.3,12.1,16.2,20.2,21.3,17.1,10.7,4.2,-1.9,124.5,100.5,83.9,65.1,63.6,51.4,102.5,129.4,153.5,138.4,161.8,150.6
後志,小樽,-3.1,-2.7,0.8,6.5,12.1,16.0,20.2,21.7,18.1,11.8,4.9,-1.1,138.1,106.6,87.3,56.4,53.7,55.6,93.6,131.3,131.7,123.0,152.4,151.9
後志,共和,-3.4,-3.0,0.5,6.3,11.8,16.0,20.1,21.4,17.5,11.2,4.8,-1.1,56.3,40.7,40.6,47.6,61.1,52.4,96.4,124.3,118.7,113.4,110.4,83.7
後志,蘭越,-4.2,-3.7,-0.2,5.4,11.4,15.9,19.9,20.9,16.8,10.1,3.6,-2.1,104.2,79.6,59.2,61.0,74.1,64.1,104.2,142.2,142.9,120.9,137.2,125.9
後志,倶知安,-5.4,-4.9,-1.0,4.9,11.2,15.6,19.7,20.6,16.4,9.7,2.9,-3.1,184.5,129.4,98.3,67.1,75.8,59.9,102.3,153.1,133.3,128.2,182.8,217.7
後志,寿都,-2.3,-1.9,1.2,6.5,11.5,15.4,19.5,21.2,18.1,12.1,5.6,-0.3,120.2,87.4,68.1,59.3,65.9,60.7,94.5,130.1,149.8,128.0,148.2,138.5
後志,真狩,-6.6,-6.1,-2.5,3.2,9.8,14.1,18.0,19.0,15.1,8.6,1.7,-4.4,116.6,87.4,81.5,66.7,81.9,65.4,115.1,161.4,145.5,112.2,143.9,152.6
後志,喜茂別,-7.2,-6.7,-2.5,3.5,10.2,15.0,19.0,19.6,15.0,8.2,1.5,-4.8,86.1,66.4,68.2,64.0,78.9,58.1,106.2,157.7,140.3,112.4,126.4,113.2
後志,黒松内,-4.1,-3.7,-0.2,5.2,10.8,15.0,19.1,20.5,16.6,10.0,3.5,-2.1,125.3,99.8,85.2,84.5,95.8,83.6,115.1,159.9,180.8,141.5,164.8,148.8
空知,石狩沼田,-7.4,-6.7,-2.3,4.1,11.2,16.0,19.9,20.5,15.9,9.1,2.0,-4.5,116.9,82.5,65.6,49.9,70.8,64.4,130.5,134.3,146.3,130.6,142.0,146.4
空知,深川,-7.3,-6.6,-2.0,4.8,11.7,16.4,20.1,20.6,16.1,9.5,2.5,-4.3,50.0,39.9,42.7,47.9,67.9,62.1,130.1,147.3,147.0,122.6,111.1,74.4
空知,空知吉野,-7.0,-6.3,-1.9,4.2,11.1,15.9,19.9,20.4,15.7,8.9,2.2,-4.3,151.7,114.6,101.4,69.6,85.1,67.8,137.6,163.7,176.0,165.0,192.8,186.9
空知,滝川,-6.9,-6.1,-1.7,5.0,11.7,16.2,20.0,20.7,16.3,9.6,2.6,-4.0,61.9,53.0,54.1,54.6,74.2,64.4,128.2,153.7,152.3,131.9,132.4,89.0
空知,芦別,-6.4,-5.6,-1.0,5.5,12.3,16.9,20.9,21.4,16.6,9.6,2.7,-3.8,65.3,53.1,59.4,53.7,66.7,76.3,122.9,152.7,142.8,116.1,128.3,98.2
空知,月形,-6.0,-5.3,-1.3,4.7,11.1,15.6,19.6,20.7,16.5,9.9,3.1,-3.2,139.1,96.4,68.5,60.1,88.5,71.7,122.8,157.7,145.7,140.7,159.4,166.2
空知,美唄,-6.6,-5.9,-1.5,5.4,12.1,16.5,20.4,21.2,16.9,10.1,3.1,-3.8,77.6,63.5,54.6,53.8,80.8,69.1,122.0,164.9,144.2,120.6,117.6,104.9
空知,岩見沢,-5.3,-4.6,-0.4,6.1,12.1,16.3,20.2,21.3,17.4,10.8,3.9,-2.6,119.4,85.5,59.4,52.7,83.9,69.5,111.5,161.1,142.2,110.4,118.8,144.5
空知,長沼,-6.2,-5.3,-0.7,5.8,11.4,15.6,19.5,21.0,17.3,10.7,3.8,-3.1,59.8,50.3,47.1,49.8,81.4,77.4,111.1,152.5,132.7,97.5,80.4,68.6
空知,夕張,-6.6,-6.0,-1.8,4.5,10.9,15.0,18.8,19.6,15.6,8.9,2.1,-4.2,115.3,82.0,78.5,78.4,107.1,86.4,129.8,185.6,156.0,119.7,129.5,131.5
山梨,大泉,-0.2,0.6,4.3,9.8,14.8,18.4,22.2,23.1,19.1,13.3,7.7,2.5,40.9,41.9,77.3,82.4,96.5,135.1,155.5,127.3,171.1,138.6,48.0,32.2
山梨,韮崎,2.0,3.4,7.2,12.7,17.5,21.1,24.6,25.5,21.8,15.8,9.6,4.3,47.8,49.0,94.8,88.7,96.6,124.0,154.3,114.3,190.0,158.6,55.7,39.1
山梨,甲府,3.1,4.7,8.6,14.0,18.8,22.3,26.0,27.1,23.2,17.1,10.8,5.4,42.7,44.1,86.2,79.5,85.4,113.4,148.8,133.1,178.7,158.5,52.7,37.6
山梨,勝沼,2.1,3.6,7.6,13.2,18.0,21.5,25.2,26.1,22.2,16.0,9.8,4.5,38.9,38.5,73.7,73.0,84.3,113.2,140.2,123.8,182.5,150.6,52.2,35.3
山梨,大月,1.8,3.0,6.7,12.1,16.9,20.4,24.2,25.0,21.1,15.2,9.3,4.1,52.2,45.3,89.9,87.7,101.5,143.6,179.3,179.3,238.4,204.8,68.8,43.6
山梨,古関,0.3,1.9,5.8,11.4,16.0,19.6,23.4,24.2,20.3,14.2,8.2,2.8,56.8,58.7,121.8,127.6,128.1,152.1,171.5,182.3,309.1,224.6,90.3,58.4
山梨,切石,1.8,3.6,7.6,13.0,17.7,21.2,25.0,26.1,22.2,16.1,9.7,4.2,60.5,66.7,126.9,120.5,134.7,156.5,181.3,150.3,285.0,225.0,87.0,57.8
山梨,河口湖,-0.4,0.6,4.2,9.5,14.3,17.8,21.9,22.5,18.7,13.0,7.5,2.3,60.9,55.4,107.6,106.1,123.2,157.1,178.4,176.8,264.7,230.0,76.0,49.8
山梨,山中,-2.4,-1.2,2.5,7.9,12.8,16.5,20.6,21.2,17.4,11.6,5.9,0.5,82.1,80.8,174.6,181.1,188.0,221.2,219.9,224.0,375.1,310.4,144.3,86.3
山梨,南部,3.6,5.0,8.5,13.6,18.2,21.6,25.3,26.4,23.0,17.4,11.3,5.9,92.6,106.5,204.3,204.1,214.2,251.1,294.6,248.0,403.5,299.4,148.0,92.1
山口,須佐,5.1,5.4,8.0,12.6,17.2,21.0,25.2,26.0,21.9,16.4,11.6,7.1,102.8,85.8,137.1,124.7,142.2,209.1,274.2,164.8,208.0,117.3,102.7,107.9
山口,萩,5.7,6.4,9.1,13.6,18.3,21.9,26.2,27.0,23.1,17.7,12.8,8.0,94.5,76.3,124.5,120.4,134.7,206.5,273.5,178.0,201.4,107.5,88.8,86.9
山口,油谷,5.8,6.4,9.3,13.9,18.4,21.9,26.1,27.1,23.1,17.8,12.8,8.0,97.8,86.8,137.7,130.4,146.2,222.5,279.7,198.3,202.0,106.5,99.4,83.5
山口,徳佐,1.8,2.8,6.3,11.7,16.8,20.5,24.4,25.1,20.9,14.8,9.2,3.9,121.9,106.3,146.7,136.6,153.7,229.5,337.8,201.5,208.6,116.7,97.4,116.3
山口,秋吉台,3.0,4.0,7.4,12.5,16.9,20.4,24.2,25.2,21.3,15.8,10.3,5.2,95.5,91.4,147.7,159.6,187.4,283.0,344.0,204.4,196.5,106.3,91.3,84.0
山口,広瀬,2.8,3.8,7.3,12.7,17.5,21.4,25.3,26.1,22.1,16.0,10.0,4.8,85.8,108.1,181.9,210.6,246.8,311.3,370.3,207.7,213.4,126.7,97.0,89.9
山口,豊田,3.6,4.4,7.5,12.4,17.3,21.2,25.1,25.9,22.0,16.1,10.4,5.4,90.8,88.3,140.5,151.4,183.7,272.5,342.8,201.2,167.8,93.3,88.2,83.1
山口,山口,4.4,5.5,9.0,13.9,19.0,22.6,26.4,27.4,23.5,17.7,11.9,6.4,76.3,85.0,145.6,168.1,197.2,282.9,342.6,205.8,179.1,91.3,83.5,70.5
山口,岩国,4.2,4.9,8.2,13.4,18.1,21.8,25.9,26.9,23.1,17.3,11.4,6.3,54.3,79.9,145.6,172.8,187.5,274.1,292.1,154.9,182.4,113.7,77.5,62.5
山口,防府,5.0,5.9,9.1,14.0,18.8,22.4,26.3,27.5,23.9,18.2,12.5,7.2,55.6,68.9,119.3,142.8,184.1,241.8,315.7,147.7,159.6,88.4,75.1,54.9
山口,下松,4.9,5.5,8.7,13.7,18.3,21.8,25.8,27.0,23.5,18.0,12.4,7.1,54.3,85.2,148.5,183.7,215.6,277.7,324.7,153.8,169.2,100.6,77.7,59.3
山口,玖珂,3.6,4.6,8.1,13.3,18.1,21.9,25.8,26.8,23.1,17.1,11.0,5.6,62.0,90.7,158.9,186.8,211.0,292.2,333.6,166.4,183.6,110.3,82.9,66.0
山口,下関,7.2,7.5,10.3,14.7,19.1,22.5,26.5,27.9,24.6,19.7,14.5,9.5,80.0,75.9,121.2,130.8,154.2,253.6,309.4,190.0,162.6,83.7,81.9,69.1
山口,宇部,5.8,6.5,9.3,13.8,18.4,22.0,25.8,27.5,24.2,18.9,13.4,8.1,56.2,65.7,106.0,129.0,162.7,242.5,291.1,131.3,133.5,77.9,74.4,57.0
山口,柳井,5.0,5.7,9.0,13.8,18.3,21.8,25.8,27.2,24.0,18.5,12.7,7.3,54.0,78.5,137.9,164.9,184.4,276.0,287.1,126.9,152.3,108.7,78.0,63.7
山口,安下庄,6.0,6.3,9.3,13.8,18.1,21.4,25.4,26.8,23.9,19.0,13.5,8.3,57.9,85.1,136.0,155.3,179.5,281.3,275.1,117.1,160.3,129.8,88.0,70.2
山形,飛島,2.1,2.3,4.9,9.4,14.1,18.4,22.4,24.4,21.0,15.6,10.0,4.8,111.0,79.6,84.2,84.1,86.4,91.4,157.1,161.1,144.1,148.3,152.6,148.8
山形,酒田,1.9,2.2,5.1,10.2,15.7,20.0,23.8,25.5,21.6,15.6,9.7,4.5,177.7,118.4,111.1,103.6,122.6,125.3,218.7,205.6,176.2,188.6,222.0,217.0
山形,差首鍋,-1.0,-0.7,1.6,7.0,13.8,18.4,22.2,23.2,18.9,12.2,6.0,1.1,270.7,196.1,181.1,154.5,180.5,189.8,339.7,275.4,198.2,228.7,286.1,310.0
