都府県振興局,観測所名,temp_jan,temp_feb,temp_mar,temp_apr,temp_may,temp_jun,temp_jul,temp_aug,temp_sep,temp_oct,temp_nov,temp_dec,rain_jan,rain_feb,rain_mar,rain_apr,rain_may,rain_jun,rain_jul,rain_aug,rain_sep,rain_oct,rain_nov,rain_dec
胆振,穂別,-8.1,-7.1,-1.6,5.1,11.3,15.6,19.5,20.4,16.2,9.1,2.4,-4.7,43.2,37.1,58.5,83.1,110.9,86.4,133.2,201.3,152.4,106.0,97.9,63.6
胆振,大滝,-7.2,-6.6,-2.7,3.3,9.6,14.3,18.2,19.1,14.6,7.8,1.3,-4.8,100.6,84.9,96.1,100.7,123.9,81.3,137.4,187.0,178.6,152.8,147.0,122.0
胆振,森野,-5.0,-4.6,-1.0,4.4,10.0,14.1,18.0,19.5,16.1,9.6,3.2,-2.7,84.8,75.2,107.8,142.5,205.7,197.4,252.4,321.3,340.1,227.5,161.7,103.5
胆振,苫小牧,-3.6,-3.2,0.5,5.3,10.0,14.0,18.2,20.4,17.8,11.5,4.9,-1.2,38.7,37.5,53.5,75.7,130.8,111.6,163.5,197.5,174.9,113.2,85.7,56.6
胆振,大岸,-4.0,-3.6,0.0,5.2,10.4,14.8,19.1,20.7,17.2,10.6,4.1,-1.8,70.2,64.2,59.5,69.2,94.8,84.8,134.1,162.2,149.1,108.5,107.1,87.3
胆振,白老,-3.7,-3.3,0.2,4.9,9.7,13.8,17.9,20.0,17.2,11.0,4.6,-1.4,34.1,35.9,61.3,89.3,155.6,149.2,207.8,230.5,206.9,134.1,88.5,56.8
胆振,鵡川,-6.0,-5.3,-0.4,5.1,10.5,14.6,18.7,20.3,16.9,10.3,3.8,-3.0,27.8,25.6,41.2,65.7,103.2,86.7,127.5,179.0,141.0,96.3,72.9,44.6
胆振,伊達,-2.9,-2.6,1.4,6.2,11.6,15.9,20.3,21.7,18.5,11.9,5.4,-0.3,19.2,17.7,36.6,60.1,63.1,66.2,97.7,118.6,97.6,77.6,70.2,44.7
胆振,登別,-4.1,-3.8,-0.4,5.1,10.3,14.0,17.9,19.6,16.7,10.8,4.2,-1.9,53.8,53.5,75.8,110.1,167.0,183.0,251.7,297.9,259.3,176.1,113.2,70.0
胆振,室蘭,-1.8,-1.6,1.4,6.1,10.7,14.4,18.5,20.6,18.4,12.9,6.4,0.5,53.6,44.3,49.9,70.0,108.3,109.1,159.2,187.3,156.6,101.8,83.2,65.8
島根,西郷,4.5,4.6,7.3,12.0,16.7,20.4,24.6,26.1,22.2,16.9,11.9,7.1,158.3,111.9,125.0,123.5,134.1,165.7,203.9,154.8,234.9,121.6,123.0,159.8
島根,西郷岬,4.6,5.0,7.6,12.0,16.5,20.2,24.0,26.0,22.5,17.5,12.7,7.3,103.5,76.5,97.5,117.1,120.8,130.5,197.4,157.0,204.9,116.4,94.3,123.2
島根,海士,5.3,5.2,7.8,12.5,17.1,20.7,24.8,26.3,22.3,17.1,12.3,7.8,116.9,86.4,108.6,107.5,125.7,167.0,203.7,141.6,197.8,97.7,105.8,126.7
島根,鹿島,4.8,5.0,7.7,12.5,17.4,21.1,25.1,26.3,22.3,16.9,11.8,7.1,143.7,108.0,124.9,105.6,121.5,166.9,224.8,136.4,198.9,122.6,131.8,157.7
島根,斐川,4.4,5.1,8.0,12.8,17.9,21.8,25.7,27.1,22.9,17.2,11.9,6.7,120.5,93.1,118.8,118.1,126.4,155.7,241.0,143.9,183.7,121.1,112.2,148.9
島根,松江,4.6,5.0,8.0,13.1,18.0,21.7,25.8,27.1,22.9,17.4,12.0,7.0,153.3,118.4,134.0,113.0,130.3,173.0,234.1,129.6,204.1,126.1,121.6,154.5
島根,出雲,4.8,5.1,7.8,12.6,17.3,21.2,25.3,26.4,22.2,16.7,11.7,7.2,121.6,98.9,123.5,112.2,130.3,183.0,229.8,145.6,187.1,113.4,114.6,135.9
島根,大田,5.0,5.5,8.3,13.3,18.0,21.7,25.8,27.0,22.7,17.2,12.1,7.3,119.6,104.0,131.6,125.3,144.4,193.1,238.3,144.8,193.0,113.9,121.5,141.1
島根,掛合,2.4,3.0,6.3,11.8,16.9,20.6,24.7,25.3,20.8,14.9,9.7,4.8,167.0,139.2,155.6,123.2,126.9,186.5,236.0,157.0,234.8,131.2,124.6,170.8
島根,横田,0.7,1.4,5.0,10.7,16.1,20.0,23.9,24.6,20.2,14.0,8.4,3.1,143.1,114.4,129.5,106.4,114.2,178.0,237.3,154.0,210.7,131.1,96.1,139.7
島根,赤名,0.3,0.9,4.4,10.2,15.4,19.3,23.0,23.8,19.4,13.3,7.8,2.6,172.5,144.4,152.6,136.5,155.8,214.5,297.1,172.1,205.3,111.9,106.8,175.4
島根,川本,2.7,3.5,6.7,12.1,17.0,20.9,24.9,25.7,21.4,15.4,10.0,4.9,147.2,122.1,139.0,127.3,145.9,206.3,266.0,169.5,217.4,113.8,110.3,157.0
島根,浜田,6.2,6.5,9.0,13.5,17.9,21.4,25.6,26.8,22.8,17.7,13.1,8.5,97.8,82.5,122.1,116.2,136.7,185.3,239.7,150.9,192.2,111.3,105.5,114.5
島根,瑞穂,0.7,1.4,5.0,10.6,15.7,19.6,23.6,24.3,20.0,13.6,7.9,2.8,151.8,130.9,145.9,126.3,139.7,194.6,260.9,169.9,201.7,112.7,95.5,155.3
島根,弥栄,1.6,2.2,5.4,10.7,15.7,19.5,23.5,24.2,19.8,13.9,8.7,3.7,168.8,133.4,158.7,136.5,156.5,222.9,298.5,193.0,222.6,138.8,134.6,185.6
島根,高津,5.0,5.8,8.5,13.0,17.5,21.1,25.3,26.4,22.5,17.2,12.4,7.2,79.1,78.3,113.3,113.9,111.0,160.4,252.3,141.0,171.4,114.5,82.9,115.0
島根,益田,5.5,6.1,8.9,13.7,18.4,22.1,26.5,27.6,23.3,17.7,12.6,7.8,97.0,80.5,121.4,109.8,124.4,179.8,238.2,136.0,169.6,107.6,96.5,109.8
島根,津和野,3.0,3.9,7.4,12.8,17.8,21.5,25.5,26.3,21.9,15.8,10.2,5.1,127.4,103.7,148.3,127.7,141.0,211.2,309.8,188.9,209.4,120.0,102.2,120.5
島根,吉賀,2.2,3.7,6.8,11.6,16.7,20.5,24.4,25.3,21.1,15.1,9.5,4.3,102.5,105.3,144.9,147.7,139.0,241.5,340.2,189.4,186.6,127.0,87.2,127.8
大分,国見,6.1,6.6,9.4,14.1,18.6,22.2,26.3,27.3,23.8,18.7,13.5,8.4,60.7,70.2,106.5,123.2,134.3,274.6,271.7,154.1,197.4,113.5,71.9,63.5
大分,中津,5.8,6.1,9.7,14.2,19.2,22.4,26.7,27.9,23.7,18.6,13.2,7.5,56.2,70.2,88.5,98.3,102.6,289.5,302.8,146.0,178.8,133.0,61.6,59.1
大分,豊後高田,5.3,6.0,9.1,13.9,18.6,22.3,26.3,27.3,23.6,18.2,12.8,7.6,47.8,61.9,93.3,103.8,119.2,260.8,251.4,132.7,169.3,94.6,63.8,49.3
大分,院内,4.0,4.9,8.3,13.4,18.2,21.8,25.8,26.4,22.5,16.7,11.0,5.9,59.5,70.7,106.2,114.7,130.5,302.4,307.2,178.5,220.7,115.8,69.0,53.9
大分,杵築,5.3,6.0,9.1,13.8,18.3,21.8,25.8,26.8,23.6,18.3,12.7,7.5,47.1,59.9,98.0,118.0,133.5,287.7,255.3,135.4,184.7,107.7,63.4,49.2
大分,武蔵,6.1,7.0,9.5,13.8,18.1,21.4,25.1,26.7,24.2,19.5,14.2,8.5,41.8,65.8,87.9,122.8,133.3,269.2,246.5,130.0,193.7,123.3,63.5,57.9
大分,日田,4.2,5.6,9.2,14.5,19.4,23.0,26.8,27.4,23.6,17.6,11.6,6.1,64.6,81.4,122.9,128.1,150.0,352.1,376.9,189.1,178.7,87.4,81.5,63.6
大分,玖珠,2.5,3.9,7.5,12.8,17.8,21.5,25.3,25.7,21.8,15.8,9.9,4.4,63.1,79.0,117.4,120.4,147.1,361.2,364.1,195.3,188.9,97.8,80.6,63.2
大分,湯布院,2.3,3.4,6.8,11.9,16.8,20.4,24.2,24.5,20.7,15.0,9.4,4.1,59.2,76.1,109.6,121.5,153.4,362.9,355.2,240.9,264.6,117.3,76.1,55.4
大分,大分,6.5,7.2,10.2,14.8,19.3,22.6,26.8,27.7,24.2,19.1,13.8,8.7,49.8,64.1,99.2,119.7,133.6,313.6,261.3,165.7,255.2,144.8,72.9,47.1
大分,犬飼,4.5,5.5,8.9,13.9,18.5,21.8,25.8,26.4,22.7,17.2,11.6,6.4,47.6,63.2,98.3,112.8,131.9,325.7,287.1,204.8,271.6,132.3,69.6,46.9
大分,竹田,3.9,5.0,8.4,13.6,18.2,21.3,25.4,25.7,22.0,16.5,11.0,5.8,48.1,67.4,103.6,117.7,147.8,364.9,309.7,221.0,268.6,124.1,67.6,45.0
大分,佐伯,6.7,7.5,10.5,15.1,19.3,22.4,26.3,27.3,24.1,19.1,13.9,8.7,62.3,70.9,116.2,136.8,178.8,333.3,282.7,247.2,338.6,200.6,104.1,60.1
大分,宇目,3.9,5.0,8.3,13.2,17.7,21.2,25.2,25.6,22.1,16.5,10.9,5.6,55.4,69.6,121.9,142.0,186.7,368.9,327.2,347.9,420.1,198.0,85.6,58.6
大分,蒲江,7.9,8.6,11.6,15.9,19.7,22.4,25.8,27.2,24.8,20.2,15.1,10.0,68.0,75.4,143.8,187.5,244.2,398.6,255.7,230.9,336.7,190.0,127.3,74.5
京都,間人,5.3,5.5,8.2,13.1,17.6,21.1,25.3,26.9,23.2,18.2,13.1,7.9,222.1,125.4,123.7,99.3,120.4,141.8,170.6,117.7,198.0,138.9,154.7,264.9
京都,宮津,4.1,4.3,7.4,12.5,17.4,21.2,25.5,26.8,22.7,17.1,11.8,6.6,202.9,150.4,136.4,111.9,132.8,146.1,199.9,142.1,226.9,156.1,124.0,188.5
京都,舞鶴,3.7,4.1,7.4,12.7,17.8,21.6,25.9,27.1,22.9,17.0,11.3,6.2,183.4,146.6,140.5,116.6,142.8,154.9,192.6,149.6,238.3,179.9,132.5,163.6
京都,福知山,3.2,3.8,7.2,12.7,17.9,21.8,25.9,27.0,22.7,16.5,10.7,5.5,103.9,96.5,115.4,114.1,137.5,163.9,197.5,166.7,214.1,149.6,82.9,89.5
